FECHA_CORTE,CAMA,HABI,RUC,RAZON_SOCIAL,NOMBRE_COMERCIAL,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,E_MAIL,PAGINA_WEB,CLASE,CATEGORIA,NRO_CERTIFICADO,FECHA_EXPEDICION,REP_LEGAL,TELEFONO,DIRECCION_COMPLETA,ALTA_CALIDAD,ESTRELLAS
20260501,44.0,22.0,10297310173,"AGUAD FERNANDEZ DAVILA, ERNESTO YAMIL",TITO,40101,AREQUIPA,AREQUIPA,AREQUIPA,hoteltito@hotel-tito.com,www.hotel-tito.com/,Hotel,3 Estrellas,000-2011,2025-12-30 05:00:00,Ernesto Yamil Aguad Fernandez Davila,NO REGISTRADO,Calle PERU 105 B,0,3
20260501,26.0,16.0,10409991691,"ABUGATTAS ABUGATTAS, FELIPE ANTONIO",POSADA DE SAN JUAN,40101,AREQUIPA,AREQUIPA,AREQUIPA,posadadesanjuan@hotmail.com,,Hostal,3 Estrellas,000-2011,2025-12-30 05:00:00,Felipe Antonio Abugattas Abugattas,54202898,Calle SAN JUAN DE DIOS ALTOS 210,0,3
20260501,23.0,14.0,10308213272,"SOSA SANCHEZ, ELIANA ANITA",DULCE AMANECER,40704,AREQUIPA,ISLAY,ISLAY,hostaldulceamanecer.islay@gmail.com,,Hostal,2 Estrellas,000-2011,2025-12-30 05:00:00,Eliana Anita Sosa Sanchez,533029,LT. ALTO ISLAY 9 F P.J. MATARANI,0,2
20260501,15.0,8.0,20600290721,Hostal La Posada Del Mochilero Empresa Individual De Responsabilidad Limitada,FRIENDLY AQP,40101,AREQUIPA,AREQUIPA,AREQUIPA,hfriendly20@gmail.com,,Hostal,2 Estrellas,000-2011,2025-12-30 05:00:00,Eber Frank Taco Hilachoque,575355/959154202,Calle CONSUELO 418 AREQUIPA,0,2
20260501,16.0,8.0,10421582080,"HUARACHA ANCCA, LIBIA PILAR",LA CASA DE LA ABUELA ISABEL,40519,AREQUIPA,CAYLLOMA,YANQUE,lacasademiabuelacolca@gmail.com,,Hostal,2 Estrellas,000-2011,2025-12-30 05:00:00,Libia Pilar Huaracha Ancca,983236887/928506672,Calle LIMA S/N YANQUE,0,2
20260501,31.0,20.0,20498458981,HOTELES BENAVIDES S.A.C.,BENAVIDES,40101,AREQUIPA,AREQUIPA,AREQUIPA,hotelbenavides@gmail.com,www.hoetelesbenavides.com,Hotel,3 Estrellas,000-2011,2025-12-30 05:00:00,Yaquelina Benavides Huerta,200773,PJ. SELVA ELGRE 106 A,0,3
20260501,146.0,72.0,20510898126,SAN AGUSTIN EL DORADO S.A.C.,HOTEL SAN AGUSTIN EL DORADO,80101,CUSCO,CUSCO,CUSCO,subgerentegeneral@hsaperu.com,www.hotelessanagustin.com.pe,Hotel,4 Estrellas,000-2011,2025-12-30 05:00:00,Ana Carina Meneses Lujan,231232,AV. EL SOL 395,1,4
20260501,60.0,32.0,20608180070,Peruvian Spots S.A.C.,AVA SPOTS,81301,CUSCO,URUBAMBA,URUBAMBA,alejo@avaspots.com,www.avaspots.com,Hotel,3 Estrellas,000-2011,2025-12-30 05:00:00,Jorge Alejandro Jordan Rivas,986697835,CAR. CUSCO OLLNTAYTAMBOKM 75-SEC. RUMICHOCA -URUBAMBA 75,0,3
20260501,48.0,23.0,10411351845,"SARAVIA SARMIENTO, VANESSA MARGOT",GRAN HOSTAL PREMIER,40201,AREQUIPA,CAMANÁ,CAMANÁ,breyshka@hotmail.com,,Hostal,2 Estrellas,000-2011,2025-12-30 05:00:00,Vanessa Margot Saravia Sarmiento,571008/959063610,JR. GARCI CARBAJAL 117 CAMANA,0,2
20260501,34.0,17.0,15413524773,"CASTRO LOPEZ, OSCAR ROLANDO",OZUN,40701,AREQUIPA,ISLAY,MOLLENDO,hostal.ozun@outlook.com,,Hostal,1 Estrella,000-2011,2025-12-30 05:00:00,Oscar Rolando Castro Lopez,960995389,AV. INDUSTRIAL 8 F APVIS NUEVA GENERACION,0,1
